Date,Prices,
,Goog,S&P500
1/3/2005,97.7,1181.3
2/1/2005,93.9,1203.6
3/1/2005,90.2,1180.6
4/1/2005,109.9,1156.8
5/2/2005,138.5,1191.5
6/1/2005,146.9,1191.3
7/1/2005,143.7,1234.2
8/1/2005,142.9,1220.3
9/1/2005,158.1,1228.8
10/3/2005,185.9,1207.0
11/1/2005,202.3,1249.5
12/1/2005,207.2,1248.3
1/3/2006,216.1,1280.1
2/1/2006,181.1,1280.7
3/1/2006,194.8,1294.9
4/3/2006,208.8,1310.6
5/1/2006,185.7,1270.1
6/1/2006,209.5,1270.2
7/3/2006,193.1,1276.7
8/1/2006,189.1,1303.8
9/1/2006,200.7,1335.8
10/2/2006,238.0,1377.9
11/1/2006,242.2,1400.6
12/1/2006,230.0,1418.3
1/3/2007,250.5,1438.2
2/1/2007,224.5,1406.8
3/1/2007,228.9,1420.9
4/2/2007,235.5,1482.4
5/1/2007,248.7,1530.6
6/1/2007,261.1,1503.3
7/2/2007,254.7,1455.3
8/1/2007,257.4,1474.0
9/4/2007,283.4,1526.8
10/1/2007,353.1,1549.4
11/1/2007,346.2,1481.1
12/3/2007,345.4,1468.4
1/2/2008,281.9,1378.6
2/1/2008,235.4,1330.6
3/3/2008,220.0,1322.7
4/1/2008,286.9,1385.6
5/1/2008,292.6,1400.4
6/2/2008,262.9,1280.0
7/1/2008,236.6,1267.4
8/1/2008,231.4,1282.8
9/2/2008,200.1,1166.4
10/1/2008,179.5,968.8
11/3/2008,146.3,896.2
12/1/2008,153.7,903.3
1/2/2009,169.1,825.9
2/2/2009,168.8,735.1
3/2/2009,173.9,797.9
4/1/2009,197.8,872.8
5/1/2009,208.4,919.1
6/1/2009,210.6,919.3
7/1/2009,221.3,987.5
8/3/2009,230.6,1020.6
9/1/2009,247.7,1057.1
10/1/2009,267.8,1036.2
11/2/2009,291.2,1095.6
12/1/2009,309.7,1115.1
1/4/2010,264.7,1073.9
2/1/2010,263.1,1104.5
3/1/2010,283.3,1169.4
4/1/2010,262.6,1186.7
5/3/2010,242.6,1089.4
6/1/2010,222.3,1030.7
7/1/2010,242.2,1101.6
8/2/2010,224.8,1049.3
9/1/2010,262.6,1141.2
10/1/2010,306.5,1183.3
11/1/2010,277.6,1180.6
12/1/2010,296.7,1257.6
1/3/2011,299.9,1286.1
2/1/2011,306.4,1327.2
3/1/2011,293.1,1325.8
4/1/2011,271.8,1363.6
5/2/2011,264.2,1345.2
6/1/2011,252.9,1320.6
7/1/2011,301.5,1292.3
8/1/2011,270.2,1218.9
9/1/2011,257.3,1131.4
10/3/2011,296.0,1253.3
11/1/2011,299.4,1247.0
12/1/2011,322.6,1257.6
1/3/2012,289.8,1312.4
2/1/2012,308.8,1365.7
3/1/2012,320.3,1408.5
4/2/2012,302.1,1397.9
5/1/2012,290.1,1310.3
6/1/2012,289.7,1362.2
7/2/2012,316.2,1379.3
8/1/2012,342.2,1406.6
9/4/2012,376.9,1440.7
10/1/2012,339.8,1412.2
11/1/2012,348.8,1416.2
12/3/2012,353.3,1426.2
1/2/2013,377.5,1498.1
2/1/2013,400.2,1514.7
3/1/2013,396.7,1569.2
4/1/2013,411.9,1597.6
5/1/2013,435.2,1630.7
6/3/2013,439.7,1606.3
7/1/2013,443.4,1685.7
8/1/2013,423.0,1633.0
9/3/2013,437.5,1681.6
10/1/2013,514.8,1756.5
11/1/2013,529.3,1805.8
12/2/2013,559.8,1848.4
1/2/2014,589.9,1782.6
2/3/2014,607.2,1859.4
3/3/2014,557.0,1872.3
4/1/2014,526.7,1883.9
5/1/2014,559.9,1923.6
6/2/2014,575.3,1960.2
7/1/2014,571.60260,1930.7
8/1/2014,571.60260,2003.4
9/2/2014,577.4,1972.3
10/1/2014,559.1,2018.1
11/3/2014,541.8,2067.6
12/1/2014,526.4,2058.9
1/2/2015,534.5,1995.0
2/2/2015,558.4,2104.5
3/2/2015,548.0,2067.9
4/1/2015,537.3,2085.5
5/1/2015,532.1,2107.4
6/1/2015,520.5,2063.1
7/1/2015,625.6,2103.8
8/3/2015,618.3,1972.2
9/1/2015,608.4,1920.0
10/1/2015,710.8,2079.4
11/2/2015,742.6,2080.4
12/1/2015,758.9,2043.9
1/4/2016,743.0,1940.2
2/1/2016,697.8,1932.2
3/1/2016,745.0,2059.7
4/1/2016,693.0,2065.3
5/2/2016,735.7,2096.9
6/1/2016,692.1,2098.9
7/1/2016,768.8,2173.6
8/1/2016,767.0,2170.9
9/1/2016,777.3,2168.3
10/3/2016,784.5,2126.1
11/1/2016,758.0,2198.8
12/1/2016,771.8,2238.8
1/3/2017,796.8,2278.9
2/1/2017,813.7,2316.1
